text,topic
"For the second straight game, California scored a ton of late runs to crush
the Brewhas. It was six runs in the 8th for a 12-5 win Monday and five in
the 8th and six in the 9th for a 12-2 win yesterday. Jamie Navarro pitched
seven strong innings, but Orosco, Austin, Manzanillo and Lloyd all took part
in the mockery of a bullpen yesterday. How's this for numbers? Maldanado has
pitched three scoreless innings and Navarro's ERA is 0.75. The next lowest
on the staff is Wegman at 5.14. Ouch!

It doesn't look much better for the hitters. Hamilton is batting .481, while
Thon is hitting .458 and has seven RBI. The next highest is three. The next
best hitter is Jaha at .267 and then Vaughn, who has the team's only HR, at
.238. Another ouch. Looking at the stats, it's not hard to see why the team
is 2-5. In fact, 2-5 doesn't sound bad when you're averaging three runs/game
and giving up 6.6/game. 

Still, it's early and things will undoubtedly get better. The offense should
come around, but the bullpen is a major worry. Fetters, Plesac and Austin gave
the Brewers great middle relief last year. Lloyd, Maldanado, Manzanillo, 
Fetters, Austin and Orosco will have to pick up the pace for the team to be
successful. Milwaukee won a number of games last year when middle relief either
held small leads or kept small deficits in place. The starters will be okay,
the defense will be alright and the hitting will come around, but the bullpen
is a big question mark.

In other news, Nilsson and Doran were reactivated yesterday, while William
Suero was sent down and Tim McIntosh was picked up by Montreal. Today's game
with California was cancelled.",rec.sport.baseball
"
Well, had you been a bit less exuberant in both the tone and substance of
your predictions, the responses would probably have been a bit more
measured. Be that as it may....

Clemens is always in this form, and Viola isn't really performing beyond
what might reasonably have been expected. How do you know that the Sox are
responding to them, and not to Al Bumbry, Hobson, or (my most likely
suspect) new hitting coach Mike Easler? I certainly am more likely to give
Easler credit for Mo Vaughhn's hot start than Clemens or Viola.

This was the optimistic scenario, but not unreasonably so. He hasn't shown
much power yet, though.

How can you tell that Dawson is providing the leadership? Perhaps it's
Calderon? Perhaps it's Clemens and Viola? Maybe Hobson is finally showing
those people skills he was supposed to have when they hired him. Or maybe
it's all a myth. And Dawson has been hitting reasonably well, but not as
well as Greenwell, Vaughn, Cooper, or Fletcher.

In three games. Why don't we look at this one again in, say, July?

A bit better than could reasonably have been expected. But don't forget that
Zupcic looked like Wade Boggs lite for about 75 AB's last year. Beware of
small sample sizes. Still, if Fletcher hits as well as he did last year he'd
be a great improvement over any Sox leadoff hitter from last year. Be aware
that his career numbers seem to indicate that he puts up good numbers as
long as he doesn't have to make more than 300 AB or so in a year.

Ummm...sorry, no. I can buy the ""in the field"" part, and I think he'll be
better at the plate than the 1992 Boggs, but in general Cooper, while he'll
be a pretty good hitter, couldn't carry Boggs' jockstrap. With a little
luck, he could be the fourth or fifth best 3B in the AL (Martinez, Boggs,
Ventura, and Palmer will all be better).


See, here is where you make that quick left turn off into the aether. .500
is plausible, third is not unlikely, but phrases like ""could run away with
the division"" are likely to get you a visit from the men in the white
coats. It's not really clear that their staff is better than last year. If
Russell does well, Darwin doesn't go on the DL, and Hesketh doesn't pitch
just barely well enough to avoid losing his spot in the rotation, they could
be better. On the other hand, if Hesketh pitches miserably and they're too
stupid to move him to the pen and bring up Conroy or somebody, Fossas
continues to pitch dismally but they keep giving him innings becasue he's a
lefty, and Russell explodes they could be pretty bad.

 Mike Jones | AIX High-End Development | mjones@donald.aix.kingston.ibm.com",rec.sport.baseball
"
The speculum is the little cone that fits on the end of the otoscope.
There are also vaginal specula that females and gynecologists are
all too familiar with.
-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."" ",sci.med
"
I wondered the same thing.  When he first mentioned it, I thought he was
just making a mistake but then he said it over and over.  And then in the
examples from other years, he gave stats for players from both leagues even
when only one league expanded.

So (since stats *NEVER* lie :-) ), I guess there is an effect on both leagues
because the expansion draft takes talent from both leagues equally making 
every team in both leagues dilute their major league talent by calling up
players that, normally, they would not have had there not been expansion.",rec.sport.baseball
"
I've been saying that for at least 2 years now and even the A's conditioning
guru told Jose he was carrying too much weight and losing some would help
his back.Although I don't for one second believe Jose used steroids,his
back problems are very similar to problems alot of steroid users experience
because they are simply carrying too much weight on their frame(see Jeff
Bregel ex 49er as a textbook example), and IMHO Jose is too big for his
frame.



I can't imagine how to estimate bat speed, but its pretty obvious that
Jose is missing fastballs he used to hit, likely due to his back.



I don't know, he had an even more open stance when he first came up with
the A's, and had no problems with it then. It might be that pre-back
problems, he was quick enough to cover up any deficiencies the stance
caused, but now he's lost just enough bat speed that the stance hurts
him. The old saying if you're hot its a trigger mechanism, if you're
cold, its a hitch. 


The biggest problem IMHO is he never has found a stance he's comfortable
with for more than a few months. He changes his stance so much, he loses
track of where the strike zone is. In Wednesday's night game, he was 
clearly mad at strike calls on both corners that looked pretty good to
me. I think he no longer knows where the strike zone really is because
he's changed his stance so much.

I'm also a bit concerned that because he's got Palmer and Gonzalez hitting
all the homeruns, he'll become competitive, swing even harder and screw
himself up even worse. LaRussa always said that Canseco's famous batting
practice homer shows did him more harm than good as they encouraged
bad hitting habits.


",rec.sport.baseball
"

The name is a working name only; quite unofficial.  The formal designation
is 1993 FW.
",sci.space
"As nobody in the food industry has even bothered to address my previous
question ""WHY DO YOU NEED TO PUT MSG IN ALMOST EVERY FOOD?"" I must assume
that my wife's answer is closer to the truth than I hoped it was.

She believes that MSG is added to food to cause people to eat more of it
and not quit when they shoud be sated.  To put it a different way, she 
believes that for some people MSG causes them to act toward food like an addict.  
(Eat all the chips, chow down on several packages of noodle soup .... you get the
idea! }  IF she is right, then the moral and ethical standards of the 
food, chemical and regulatory groups need to be addressed!!!  Can MSG
be considered a conditioning substance (not addictive but sort of habit
forming) ?

This brings up a side question of mine.   I have noticed that cats (my
children's and my parent's) seem to fixate on a particular brand of pet
food. The cat will eat any product within one brand and not any other
brand.  I have wondered if this is not a case of preference, but, some
sort of chemical training or addiction. My questions, for the net, are:
Does the FDA regulate the contents of pet food?  Is it allowed for pet
food to contain addictive or conditioning substances?  Is MSG put in 
pet food?

-----------------------------------
I speak for myself and not Motorola
-----------------------------------
 ",sci.med
"Sumatriptan(Imitrex) just became available in the US in a subcutaneous
injectable form.  Is there an oral form available in CA?  A friend(yes
really not me!)  has severe migranes about 2-3 times per week.  We
live right by the CA border and he has gotten drugs for GERD prescribed
by a US physician and filled in a CA pharmacy, but not yet FDA approved
in the US.  What would be the cost of the oral form in CA$ also if
anyone would have that info?    ",sci.med
"

PDR and CPS are good places to starts.

do a medline search... lots of interesting debates going on (remember
when Prozac was impicated in suicidal behaviour?)",sci.med
"
In order to excitotoxin effects of MSG, MSG that in blood must go through 
blood-brain barrier that I am not sure MSG can go through or not. In normal condition, the concentration of glutamate in the cerebrospinal fluid is about 
2 uM that is high enough to activate one type of glutamate receptor-the NMDA
receptor. But the question is Neuron and glial cell in the brain have a lots of transport to get glutamate into Neuron or glial. So no one know exact concentration of glutamate is around neurons. ",sci.med
