topic,bad,best,better,chiggers,doesn,don,food,game,good,hitting,just,know,like,lot,major,msg,old,people,players,question,really,software,stance,things,think,time,ve,work,year,years
rec.sport.baseball,1,1,2,0,2,0,0,4,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0
rec.sport.baseball,1,1,5,0,3,2,0,0,2,2,1,1,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,5,0
sci.med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rec.sport.baseball,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
rec.sport.baseball,1,0,0,0,0,2,0,1,2,2,1,1,0,0,0,0,1,0,0,0,1,0,6,0,1,0,1,0,0,1
sci.space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sci.med,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0
sci.med,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sci.med,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sci.med,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sci.space,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sci.med,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1
sci.space,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
rec.sport.baseball,1,1,2,0,1,1,0,1,2,0,1,1,2,3,1,0,1,0,3,0,1,0,0,0,0,3,0,0,2,2
sci.med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
sci.med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rec.sport.baseball,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sci.space,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4,0,0,0,6,0,2,1,0,0,0,0,0
sci.med,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
sci.med,0,0,0,0,1,4,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,1
rec.sport.baseball,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
sci.med,0,2,0,6,1,2,0,0,3,0,0,0,3,3,0,0,1,1,0,0,0,0,0,4,3,1,1,2,0,1
sci.med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sci.med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rec.sport.baseball,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0
